Day,Bitcoin
2021-01-01,28
2021-01-02,49
2021-01-03,59
2021-01-04,50
2021-01-05,40
2021-01-06,45
2021-01-07,66
2021-01-08,65
2021-01-09,50
2021-01-10,48
2021-01-11,71
2021-01-12,56
2021-01-13,50
2021-01-14,50
2021-01-15,43
2021-01-16,37
2021-01-17,35
2021-01-18,33
2021-01-19,32
2021-01-20,30
2021-01-21,37
2021-01-22,42
2021-01-23,30
2021-01-24,28
2021-01-25,29
2021-01-26,27
2021-01-27,28
2021-01-28,29
2021-01-29,48
2021-01-30,33
2021-01-31,28
2021-02-01,27
2021-02-02,28
2021-02-03,28
2021-02-04,30
2021-02-05,28
2021-02-06,33
2021-02-07,28
2021-02-08,58
2021-02-09,69
2021-02-10,47
2021-02-11,45
2021-02-12,44
2021-02-13,36
2021-02-14,40
2021-02-15,40
2021-02-16,45
2021-02-17,51
2021-02-18,47
2021-02-19,51
2021-02-20,58
2021-02-21,52
2021-02-22,59
2021-02-23,69
2021-02-24,55
2021-02-25,44
2021-02-26,45
2021-02-27,37
2021-02-28,41
2021-03-01,41
2021-03-02,37
2021-03-03,34
2021-03-04,34
2021-03-05,33
2021-03-06,28
2021-03-07,30
2021-03-08,32
2021-03-09,37
2021-03-10,35
2021-03-11,34
2021-03-12,33
2021-03-13,43
2021-03-14,43
2021-03-15,37
2021-03-16,35
2021-03-17,34
2021-03-18,33
2021-03-19,30
2021-03-20,28
2021-03-21,29
2021-03-22,30
2021-03-23,31
2021-03-24,34
2021-03-25,37
2021-03-26,30
2021-03-27,28
2021-03-28,26
2021-03-29,30
2021-03-30,31
2021-03-31,31
2021-04-01,34
2021-04-02,32
2021-04-03,29
2021-04-04,27
2021-04-05,28
2021-04-06,28
2021-04-07,30
2021-04-08,26
2021-04-09,25
2021-04-10,28
2021-04-11,27
2021-04-12,28
2021-04-13,39
2021-04-14,42
2021-04-15,35
2021-04-16,38
2021-04-17,32
2021-04-18,53
2021-04-19,44
2021-04-20,40
2021-04-21,33
2021-04-22,38
2021-04-23,56
2021-04-24,41
2021-04-25,38
2021-04-26,39
2021-04-27,36
2021-04-28,32
2021-04-29,30
2021-04-30,29
2021-05-01,29
2021-05-02,26
2021-05-03,30
2021-05-04,31
2021-05-05,31
2021-05-06,29
2021-05-07,27
2021-05-08,29
2021-05-09,29
2021-05-10,30
2021-05-11,29
2021-05-12,31
2021-05-13,69
2021-05-14,44
2021-05-15,36
2021-05-16,38
2021-05-17,54
2021-05-18,41
2021-05-19,100
2021-05-20,77
2021-05-21,60
2021-05-22,55
2021-05-23,62
2021-05-24,60
2021-05-25,47
2021-05-26,42
2021-05-27,38
2021-05-28,39
2021-05-29,38
2021-05-30,37
2021-05-31,34
2021-06-01,33
2021-06-02,32
2021-06-03,32
2021-06-04,34
2021-06-05,31
2021-06-06,32
2021-06-07,31
2021-06-08,40
2021-06-09,39
2021-06-10,36
2021-06-11,29
2021-06-12,26
2021-06-13,28
2021-06-14,35
2021-06-15,29
2021-06-16,26
2021-06-17,25
2021-06-18,24
2021-06-19,23
2021-06-20,24
2021-06-21,36
2021-06-22,46
2021-06-23,34
2021-06-24,29
2021-06-25,28
2021-06-26,26
2021-06-27,26
2021-06-28,27
2021-06-29,26
2021-06-30,24
2021-07-01,22
2021-07-02,21
2021-07-03,20
2021-07-04,21
2021-07-05,21
2021-07-06,20
2021-07-07,19
2021-07-08,21
2021-07-09,19
2021-07-10,17
2021-07-11,17
2021-07-12,19
2021-07-13,19
2021-07-14,19
2021-07-15,19
2021-07-16,20
2021-07-17,19
2021-07-18,18
2021-07-19,21
2021-07-20,27
2021-07-21,25
2021-07-22,22
2021-07-23,19
2021-07-24,21
2021-07-25,21
2021-07-26,34
2021-07-27,27
2021-07-28,26
2021-07-29,24
2021-07-30,21
2021-07-31,23
2021-08-01,23
2021-08-02,21
2021-08-03,20
2021-08-04,20
2021-08-05,20
2021-08-06,22
2021-08-07,24
2021-08-08,25
2021-08-09,27
2021-08-10,26
2021-08-11,26
2021-08-12,23
2021-08-13,24
2021-08-14,22
2021-08-15,21
2021-08-16,23
2021-08-17,22
2021-08-18,21
2021-08-19,21
2021-08-20,23
2021-08-21,24
2021-08-22,22
2021-08-23,26
2021-08-24,23
2021-08-25,22
2021-08-26,21
2021-08-27,20
2021-08-28,18
2021-08-29,19
2021-08-30,19
2021-08-31,20
